"","PC","ATE","SE","noise_type","noise_params","solution","data"
"178",78,2.17700983413416,0.0503527825474451,"None","None","2 4 b2","sim1 5000"
"179",79,2.18820659254443,0.0504565687144558,"None","None","2 4 b2","sim1 5000"
"180",80,2.17755606200086,0.0505129707498304,"None","None","2 4 b2","sim1 5000"
"181",81,2.17611031551564,0.0507179658692909,"None","None","2 4 b2","sim1 5000"
"182",82,2.16645772607669,0.0506676158730745,"None","None","2 4 b2","sim1 5000"
"183",83,2.15677563288252,0.0507009237624161,"None","None","2 4 b2","sim1 5000"
"184",84,2.16990149179261,0.0505454643310838,"None","None","2 4 b2","sim1 5000"
"185",85,2.17595924154093,0.0509322507391006,"None","None","2 4 b2","sim1 5000"
"186",86,2.1643377595726,0.0507963161601662,"None","None","2 4 b2","sim1 5000"
"187",87,2.16709230308204,0.0504809938861447,"None","None","2 4 b2","sim1 5000"
"188",88,2.18639906174386,0.0508544696919915,"None","None","2 4 b2","sim1 5000"
"189",89,2.17135042103099,0.0507559677496036,"None","None","2 4 b2","sim1 5000"
"190",90,2.17275982124543,0.0510525829867737,"None","None","2 4 b2","sim1 5000"
"191",91,2.15535101111066,0.0511931540716926,"None","None","2 4 b2","sim1 5000"
"192",92,2.17764461999575,0.0510818029185074,"None","None","2 4 b2","sim1 5000"
"193",93,2.15736007767559,0.0512352623546913,"None","None","2 4 b2","sim1 5000"
"194",94,2.16993646299512,0.0509070685849987,"None","None","2 4 b2","sim1 5000"
"195",95,2.16424096975418,0.0510535635859516,"None","None","2 4 b2","sim1 5000"
"196",96,2.1647249500979,0.0510388581328808,"None","None","2 4 b2","sim1 5000"
"197",97,2.16347076377889,0.0512015117280256,"None","None","2 4 b2","sim1 5000"
"198",98,2.1539921684971,0.0516060678446865,"None","None","2 4 b2","sim1 5000"
"199",99,2.16186474744068,0.0512936737932801,"None","None","2 4 b2","sim1 5000"
"200",100,2.17413509208639,0.0515328962408865,"None","None","2 4 b2","sim1 5000"
"201",1,7.38591108384836,0.591893598792528,"None","None","4 6","sim1 5000"
"202",2,0.0442667744384787,0.125738515042676,"None","None","4 6","sim1 5000"
"203",3,-0.456257171066652,0.169739700956794,"None","None","4 6","sim1 5000"
"204",4,0.0359886159148707,0.124236424610855,"None","None","4 6","sim1 5000"
"205",5,-0.0455817018913386,0.0676160300125448,"None","None","4 6","sim1 5000"
"206",6,0.119652758115249,0.054440059760579,"None","None","4 6","sim1 5000"
"207",7,0.0922741882090354,0.0384194908031462,"None","None","4 6","sim1 5000"
"208",8,0.0831905555734893,0.0335627230785507,"None","None","4 6","sim1 5000"
"209",9,0.145031083973393,0.0277144423398796,"None","None","4 6","sim1 5000"
"210",10,0.141950019665866,0.0283142078996284,"None","None","4 6","sim1 5000"
"211",11,0.171794068152608,0.0272134003634325,"None","None","4 6","sim1 5000"
"212",12,0.103816081797467,0.0320113183792071,"None","None","4 6","sim1 5000"
"213",13,0.166190933192692,0.0273123525784591,"None","None","4 6","sim1 5000"
"214",14,0.11058320253414,0.0299357088692541,"None","None","4 6","sim1 5000"
"215",15,0.168675223579873,0.0267290483888907,"None","None","4 6","sim1 5000"
"216",16,0.190987406718247,0.0273539111652633,"None","None","4 6","sim1 5000"
"217",17,0.221211895709528,0.0236793932395596,"None","None","4 6","sim1 5000"
"218",18,0.251056075404592,0.0236559745327871,"None","None","4 6","sim1 5000"
"219",19,0.236048800048764,0.0234450936330301,"None","None","4 6","sim1 5000"
"220",20,0.252603719497179,0.022818071284821,"None","None","4 6","sim1 5000"
"221",21,0.237647216862963,0.0234202489269087,"None","None","4 6","sim1 5000"
"222",22,0.235580978963445,0.0232903576112831,"None","None","4 6","sim1 5000"
"223",23,0.251220939951151,0.0214623267570152,"None","None","4 6","sim1 5000"
"224",24,0.28987020029802,0.0218317549522855,"None","None","4 6","sim1 5000"
"225",25,0.345297194648346,0.0189957730949237,"None","None","4 6","sim1 5000"
"226",26,0.383456098188021,0.0179170813513458,"None","None","4 6","sim1 5000"
"227",27,0.421764582397842,0.0173866348105547,"None","None","4 6","sim1 5000"
"228",28,0.424254312128642,0.0176471519936422,"None","None","4 6","sim1 5000"
"229",29,0.425385742589764,0.0176605252183921,"None","None","4 6","sim1 5000"
"230",30,0.429571444704389,0.0172824144537249,"None","None","4 6","sim1 5000"
"231",31,0.45257907678569,0.0180128081198401,"None","None","4 6","sim1 5000"
"232",32,0.460815800465801,0.0166768708928547,"None","None","4 6","sim1 5000"
"233",33,0.462546250995552,0.0171413587963039,"None","None","4 6","sim1 5000"
"234",34,0.472453486585855,0.0170631765369611,"None","None","4 6","sim1 5000"
